timestamp_utc,unit of compute,gb of hbm,tb/s bandwidth
2026-07-17,4.371748597733318,1.7689265517795885,1.554264442019282
2026-07-18,3.796928917806503,1.568142292019289,1.5759830034793856
2026-07-19,4.303130413134266,1.5801302172844696,1.5324985977972672
2026-07-20,4.077231401954142,1.5676319976992728,1.5754701576877692
2026-07-21,3.6150485820395173,1.4503719475111756,1.696114839557059
2026-07-22,3.600838537912038,1.3901655806432034,1.667025145182478
2026-07-23,3.801687795317933,1.3395623942974908,1.5576761377189536
2026-07-24,3.7931963806185505,1.344943613771561,1.5604903075403662
2026-07-25,3.772836036350544,1.2457998686715073,1.320774926972866
2026-07-26,3.6243689436426014,1.2088699637896636,1.418162095178069
2026-07-27,3.4550179626653046,1.222036073506939,1.3904737159294775
2026-07-28,3.9576406624993408,1.2205649892445083,1.2860376304023844
2026-07-29,4.570360909947624,1.405811676282221,1.1439836574938735
2026-07-30,4.645011689755748,1.5261919531352701,1.137853922713068
2026-07-31,3.6081278871947515,1.2510132721660363,1.4048804325543591
2026-08-01,3.5877668608788884,1.2675001698281416,1.491901847637485
